[170/1000] :: train loss: 0.02259, train acc: 0.97700, valid loss: 0.08734, valid acc: 0.78000
[171/1000] :: train loss: 0.02306, train acc: 0.97800, valid loss: 0.08959, valid acc: 0.77800
[172/1000] :: train loss: 0.02303, train acc: 0.97567, valid loss: 0.08920, valid acc: 0.77900
[173/1000] :: train loss: 0.02707, train acc: 0.96100, valid loss: 0.09015, valid acc: 0.77000
[174/1000] :: train loss: 0.02170, train acc: 0.97700, valid loss: 0.09269, valid acc: 0.77000
[175/1000] :: train loss: 0.02061, train acc: 0.98367, valid loss: 0.08630, valid acc: 0.78700
[176/1000] :: train loss: 0.02134, train acc: 0.97933, valid loss: 0.08458, valid acc: 0.79200
[177/1000] :: train loss: 0.02237, train acc: 0.97400, valid loss: 0.08927, valid acc: 0.77500
[178/1000] :: train loss: 0.01861, train acc: 0.98567, valid loss: 0.07827, valid acc: 0.81300
[179/1000] :: train loss: 0.02178, train acc: 0.97600, valid loss: 0.08579, valid acc: 0.78700
[180/1000] :: train loss: 0.02032, train acc: 0.98367, valid loss: 0.08343, valid acc: 0.80000
[181/1000] :: train loss: 0.02020, train acc: 0.98200, valid loss: 0.08293, valid acc: 0.80000
[182/1000] :: train loss: 0.02087, train acc: 0.97733, valid loss: 0.08763, valid acc: 0.79000
[183/1000] :: train loss: 0.01912, train acc: 0.98667, valid loss: 0.08449, valid acc: 0.79100
[184/1000] :: train loss: 0.01861, train acc: 0.98567, valid loss: 0.08376, valid acc: 0.79200
[185/1000] :: train loss: 0.02038, train acc: 0.98267, valid loss: 0.08638, valid acc: 0.79800
[186/1000] :: train loss: 0.02179, train acc: 0.97900, valid loss: 0.08759, valid acc: 0.77000
[187/1000] :: train loss: 0.01961, train acc: 0.98500, valid loss: 0.08680, valid acc: 0.78300
[188/1000] :: train loss: 0.01893, train acc: 0.98500, valid loss: 0.08777, valid acc: 0.78600
[189/1000] :: train loss: 0.02069, train acc: 0.98200, valid loss: 0.08842, valid acc: 0.78700
[190/1000] :: train loss: 0.02133, train acc: 0.98367, valid loss: 0.08644, valid acc: 0.79200
[191/1000] :: train loss: 0.01925, train acc: 0.98167, valid loss: 0.08611, valid acc: 0.79000
[192/1000] :: train loss: 0.01991, train acc: 0.98067, valid loss: 0.08786, valid acc: 0.78300
[193/1000] :: train loss: 0.02129, train acc: 0.98200, valid loss: 0.08927, valid acc: 0.78600
[194/1000] :: train loss: 0.01959, train acc: 0.98467, valid loss: 0.08687, valid acc: 0.79400
[195/1000] :: train loss: 0.02201, train acc: 0.97700, valid loss: 0.08894, valid acc: 0.77800
[196/1000] :: train loss: 0.01900, train acc: 0.98267, valid loss: 0.08597, valid acc: 0.78900
[197/1000] :: train loss: 0.01952, train acc: 0.98533, valid loss: 0.08841, valid acc: 0.78700
[198/1000] :: train loss: 0.01849, train acc: 0.98667, valid loss: 0.08742, valid acc: 0.78800
[199/1000] :: train loss: 0.01867, train acc: 0.98400, valid loss: 0.08818, valid acc: 0.79500
[200/1000] :: train loss: 0.01993, train acc: 0.98200, valid loss: 0.09035, valid acc: 0.77000
[201/1000] :: train loss: 0.01941, train acc: 0.98233, valid loss: 0.09174, valid acc: 0.76800
[202/1000] :: train loss: 0.02242, train acc: 0.98300, valid loss: 0.08915, valid acc: 0.78200
[203/1000] :: train loss: 0.02046, train acc: 0.98167, valid loss: 0.09094, valid acc: 0.77800
[204/1000] :: train loss: 0.01940, train acc: 0.98567, valid loss: 0.08551, valid acc: 0.80000
[205/1000] :: train loss: 0.01807, train acc: 0.98900, valid loss: 0.08622, valid acc: 0.79600
[206/1000] :: train loss: 0.01959, train acc: 0.98000, valid loss: 0.08932, valid acc: 0.78300
[207/1000] :: train loss: 0.02027, train acc: 0.98133, valid loss: 0.08689, valid acc: 0.78900
[208/1000] :: train loss: 0.02171, train acc: 0.97933, valid loss: 0.08747, valid acc: 0.77600
[209/1000] :: train loss: 0.01837, train acc: 0.98533, valid loss: 0.08078, valid acc: 0.80400
[210/1000] :: train loss: 0.01850, train acc: 0.98300, valid loss: 0.08117, valid acc: 0.79500
[211/1000] :: train loss: 0.02007, train acc: 0.97800, valid loss: 0.08799, valid acc: 0.77200
[212/1000] :: train loss: 0.02020, train acc: 0.98200, valid loss: 0.08865, valid acc: 0.78300
[213/1000] :: train loss: 0.02177, train acc: 0.98533, valid loss: 0.08761, valid acc: 0.78500
[214/1000] :: train loss: 0.01929, train acc: 0.98033, valid loss: 0.08171, valid acc: 0.79900
[215/1000] :: train loss: 0.01898, train acc: 0.98200, valid loss: 0.08650, valid acc: 0.78600
[216/1000] :: train loss: 0.01658, train acc: 0.99000, valid loss: 0.08007, valid acc: 0.80100
[217/1000] :: train loss: 0.01763, train acc: 0.98667, valid loss: 0.08258, valid acc: 0.79800
[218/1000] :: train loss: 0.01920, train acc: 0.98367, valid loss: 0.08561, valid acc: 0.79700
[219/1000] :: train loss: 0.01749, train acc: 0.98467, valid loss: 0.08769, valid acc: 0.79000
[220/1000] :: train loss: 0.01862, train acc: 0.98133, valid loss: 0.08677, valid acc: 0.79300
[221/1000] :: train loss: 0.02006, train acc: 0.98333, valid loss: 0.08438, valid acc: 0.78300
[222/1000] :: train loss: 0.01631, train acc: 0.99000, valid loss: 0.08566, valid acc: 0.78400
[223/1000] :: train loss: 0.01672, train acc: 0.98400, valid loss: 0.08737, valid acc: 0.77600
[224/1000] :: train loss: 0.01925, train acc: 0.98033, valid loss: 0.08403, valid acc: 0.78600
[225/1000] :: train loss: 0.01762, train acc: 0.98433, valid loss: 0.08233, valid acc: 0.79100
[226/1000] :: train loss: 0.02026, train acc: 0.98067, valid loss: 0.08810, valid acc: 0.77300
[227/1000] :: train loss: 0.01698, train acc: 0.98967, valid loss: 0.08171, valid acc: 0.78800
[228/1000] :: train loss: 0.01644, train acc: 0.98833, valid loss: 0.08113, valid acc: 0.79200
[229/1000] :: train loss: 0.01880, train acc: 0.98533, valid loss: 0.07744, valid acc: 0.81600
[230/1000] :: train loss: 0.01775, train acc: 0.98767, valid loss: 0.08775, valid acc: 0.79100
[231/1000] :: train loss: 0.01741, train acc: 0.98667, valid loss: 0.08439, valid acc: 0.79000
[232/1000] :: train loss: 0.01898, train acc: 0.98500, valid loss: 0.08903, valid acc: 0.77700
[233/1000] :: train loss: 0.01750, train acc: 0.98467, valid loss: 0.08859, valid acc: 0.76700
[234/1000] :: train loss: 0.01730, train acc: 0.98433, valid loss: 0.08152, valid acc: 0.80100
[235/1000] :: train loss: 0.01631, train acc: 0.99133, valid loss: 0.08250, valid acc: 0.79100
[236/1000] :: train loss: 0.01827, train acc: 0.98567, valid loss: 0.08803, valid acc: 0.78200
[237/1000] :: train loss: 0.01736, train acc: 0.98467, valid loss: 0.08761, valid acc: 0.77900
[238/1000] :: train loss: 0.01800, train acc: 0.98500, valid loss: 0.08702, valid acc: 0.78000
